cgpa,internships,intern_quality,certifications,skill_level,projects_score,course,tier,placement_rate,avg_salary,placement_cell,job_demand,job_activity,region_density,macro,pipeline,placed_3m,placed_6m,placed_12m,salary,risk
3.89,1,2,1,0,2,1,2,74,6.8,3,1,1,0.614730423115665,2,4,1,1,1,7.8,low
8.11,1,3,4,1,0,11,3,53,5.2,2,3,1,0.7800195913675094,3,2,0,1,1,6.8999999999999995,low
4.14,0,0,0,0,1,5,3,92,5.9,1,2,3,0.3312730761069361,3,1,1,1,1,6.8999999999999995,high
7.14,4,4,3,0,2,3,3,93,2.1,0,1,2,0.7051067176159118,2,2,1,1,1,6.8999999999999995,low
6.16,1,0,2,1,0,14,3,29,3.2,1,2,1,0.3113200291881962,2,1,0,0,0,4.4,high
4.0,1,0,4,0,1,14,2,55,8.0,3,1,3,0.43060146264746246,4,2,1,1,1,7.9,low
7.22,0,0,0,0,1,3,3,95,2.3,0,1,3,0.3096988111414283,3,2,0,1,1,1.4,medium
4.11,0,0,0,0,0,1,3,78,3.3,1,1,2,0.8002153353827824,2,0,0,0,1,3.1,high
5.37,4,3,1,0,2,7,3,35,4.8,1,1,1,0.3475143996021579,3,1,1,1,1,5.3,low
6.25,2,1,3,1,3,11,1,83,10.1,1,1,1,0.38127121402768105,2,4,0,1,1,11.1,low
7.66,1,1,1,0,1,5,3,79,4.7,3,1,3,0.6403690821022093,2,1,0,1,1,5.8,medium
5.28,0,0,3,1,2,12,2,59,5.8,0,1,2,0.37808621994691916,2,0,1,1,1,8.1,medium
4.93,0,0,1,0,3,11,2,31,7.2,0,3,1,0.17342337477872186,2,1,0,0,1,5.7,medium
7.61,1,0,1,1,0,10,3,52,2.9,2,1,1,0.20798590933499422,2,1,1,1,1,4.3,medium
4.42,0,0,3,1,1,6,3,78,4.8,0,2,1,0.39229136150096244,3,1,0,0,1,3.6,low
9.74,1,0,3,0,2,8,1,49,20.6,3,2,1,0.9624010140974353,3,0,0,1,1,25.3,low
7.16,1,1,2,2,2,12,3,66,5.0,3,1,1,0.1614576326461805,2,0,1,1,1,5.75,low
6.02,4,0,2,0,1,13,2,30,9.7,1,2,2,0.3893740865923856,2,0,1,1,1,9.7,low
6.01,4,1,2,0,3,2,1,68,13.4,2,1,3,0.6825748212723762,1,0,1,1,1,13.8,low
7.25,3,0,2,1,0,5,1,35,16.5,1,2,2,0.3956288988282256,1,2,1,1,1,18.5,medium
5.42,0,0,1,0,0,0,2,37,6.9,1,3,3,0.8953139489433054,1,0,1,1,1,3.3000000000000003,high
7.34,0,0,2,2,2,12,3,82,4.3,0,1,1,0.8277614839817077,2,3,1,1,1,5.75,low
5.28,0,0,3,0,1,8,2,38,8.7,2,3,3,0.3565567126533956,3,0,0,1,1,7.9,medium
4.49,0,0,1,0,0,5,3,37,3.3,2,2,3,0.22383962895328452,2,2,0,0,0,1.1,high
6.13,3,1,1,1,0,4,2,55,8.6,1,3,2,0.1997721057610135,4,1,0,1,1,10.1,low
5.2,1,1,1,2,1,3,3,89,5.1,1,1,3,0.13918098265009898,2,0,0,1,1,6.8999999999999995,medium
5.06,0,0,3,0,2,9,3,86,4.3,2,1,1,0.7985713597330796,2,0,0,0,1,2.8,high
5.45,1,0,3,0,2,8,2,72,7.7,1,2,2,0.905173745459548,2,4,0,1,1,8.7,medium
9.85,0,0,0,0,0,1,2,79,9.0,0,2,1,0.13811964656511658,3,0,0,0,1,9.6,medium
7.74,0,0,3,1,1,5,2,55,4.9,2,2,1,0.9545204006919278,1,0,1,1,1,2.2,medium
5.8,0,0,1,0,1,5,3,58,3.0,2,1,3,0.35701918992834225,4,1,0,0,0,1.2,high
8.89,1,2,1,0,0,10,3,47,2.5,2,2,1,0.9866192920571739,3,0,0,1,1,3.4,medium
5.04,4,2,1,1,2,14,1,65,9.2,2,2,2,0.5656240106378742,1,2,0,1,1,9.7,low
6.17,0,0,2,0,3,13,1,35,16.7,0,2,1,0.6625201253037314,2,0,1,1,1,14.2,medium
7.58,2,0,0,1,1,5,3,98,4.6,1,1,2,0.6644476092682758,2,4,1,1,1,6.8999999999999995,low
7.26,0,0,3,0,3,7,2,76,6.8,0,2,2,0.19556554024818756,1,0,0,1,1,3.1,high
9.52,3,2,0,0,3,13,3,64,3.9,1,1,3,0.5549000167213944,4,0,1,1,1,5.2,low
5.97,0,0,1,1,0,8,1,96,11.0,0,3,1,0.44771394248180063,2,1,1,1,1,20.2,low
5.66,0,0,1,0,0,5,2,85,9.0,1,1,2,0.5639551589325286,2,1,1,1,1,12.0,low
7.43,0,0,1,0,1,8,2,28,8.1,1,2,3,0.8046135922882792,3,1,0,0,1,9.4,medium
4.51,1,2,0,1,1,2,3,51,4.7,1,3,3,0.8855359380210883,3,0,1,1,1,3.5,low
6.06,1,2,3,1,2,2,2,86,6.1,0,1,1,0.3686492450712646,4,4,1,1,1,3.9,low
4.27,0,0,1,2,2,14,3,43,6.8,0,2,3,0.17112649240886532,4,2,0,1,1,6.6,medium
6.07,0,0,1,1,0,1,3,85,5.1,0,1,1,0.595317309201655,4,1,0,0,1,6.1,high
6.23,1,0,2,2,0,10,1,78,15.2,3,1,3,0.13270586429129996,3,2,1,1,1,18.4,low
8.04,0,0,1,1,3,9,1,84,19.9,0,1,1,0.7580073104278968,3,2,1,1,1,20.8,medium
7.63,1,0,2,0,0,10,3,56,3.0,0,1,1,0.7783809866033113,4,0,1,1,1,5.75,low
7.15,3,3,3,1,2,4,2,72,19.2,2,2,3,0.5303637097617016,2,4,1,1,1,22.4,low
7.43,2,0,1,1,0,12,2,32,5.8,2,2,1,0.5829941424345012,1,3,1,1,1,2.8,medium
6.14,0,0,1,1,2,0,2,25,10.8,2,3,1,0.48132764630076263,3,1,1,1,1,14.0,low
8.52,1,0,5,0,3,2,3,73,6.6,0,3,1,0.8742579230144091,1,4,1,1,1,6.9,low
6.45,1,3,0,0,0,7,3,39,6.7,0,2,2,0.9426141373469006,4,0,1,1,1,8.049999999999999,low
5.28,0,0,0,1,0,0,2,98,15.8,1,3,2,0.8365442401811376,1,3,0,1,1,20.7,low
7.1,0,0,5,2,2,11,3,65,5.1,2,2,1,0.43881416965641884,3,1,0,1,1,3.2,high
4.46,0,0,2,2,2,6,2,49,3.6,0,2,2,0.6426298404901682,3,0,0,0,1,7.2,medium
7.74,3,0,5,1,0,14,1,51,17.7,1,1,2,0.7979624938573933,2,1,0,1,1,10.5,high
3.97,0,0,0,2,2,7,3,95,3.1,3,3,2,0.36567305875696443,1,0,0,0,0,1.6500000000000001,high
7.11,1,0,3,0,2,7,3,94,5.0,3,1,2,0.8551616442354593,1,2,1,1,1,5.2,medium
4.51,1,2,2,1,1,3,2,95,4.0,1,1,2,0.3472666634780488,4,0,0,0,0,9.0,low
7.54,0,0,3,0,3,2,2,56,7.7,3,1,1,0.8452558708420425,1,4,0,1,1,8.2,medium
6.13,0,0,2,2,0,11,2,30,6.7,0,3,2,0.14190577366756896,1,3,0,1,1,7.1,medium
8.96,2,3,0,1,1,9,1,94,19.9,1,1,3,0.7203794870655775,1,2,0,1,1,25.299999999999997,low
6.7,0,0,5,1,1,9,2,80,11.5,0,2,2,0.17712470587306217,2,2,0,1,1,13.799999999999999,medium
4.97,3,0,3,0,0,5,2,96,7.0,1,2,1,0.18065695776434876,2,1,0,0,1,8.6,medium
9.9,1,0,1,0,1,8,3,33,5.5,0,2,2,0.5358081825405356,1,0,0,1,1,5.0,high
6.57,2,0,1,1,3,6,2,42,8.8,1,3,3,0.28076633983186455,2,4,0,1,1,10.35,low
6.21,0,0,0,2,0,6,2,28,7.6,3,2,3,0.28868355672515517,3,3,1,1,1,10.35,low
7.58,2,0,5,1,1,4,3,78,7.0,1,3,2,0.8310672781110956,2,3,0,1,1,9.9,low
4.26,1,4,1,0,0,10,3,91,3.5,1,2,1,0.43670761102453426,2,2,0,1,1,2.4,low
9.52,0,0,1,0,1,1,1,81,18.6,2,2,1,0.37023767486374626,3,0,1,1,1,20.5,low
4.5,0,0,3,1,0,2,2,75,9.3,0,3,3,0.5046175102366719,2,0,1,1,1,10.6,medium
6.01,0,0,3,1,2,8,2,75,11.0,1,2,1,0.5120745275588812,1,2,0,0,1,13.3,medium
7.35,1,0,0,0,0,1,2,47,10.7,1,2,1,0.26838872196616237,3,1,0,0,1,9.9,medium
7.62,0,0,1,0,0,10,2,62,7.6,0,1,2,0.2513880796929163,2,2,1,1,1,8.6,low
6.58,2,0,0,1,2,5,2,56,8.6,0,1,2,0.41371927914008244,3,1,0,0,1,10.6,medium
6.02,1,2,3,1,1,11,3,93,4.1,0,2,1,0.34060875965027215,3,4,1,1,1,4.6,low
7.71,0,0,1,0,2,13,3,43,3.6,1,1,2,0.43765509506160427,1,2,0,1,1,6.4,low
4.71,2,2,2,1,2,7,2,33,6.9,2,2,1,0.4866787906167126,1,0,0,1,1,3.7,medium
5.32,1,3,0,2,0,10,3,79,3.4,0,1,3,0.37167895393878003,3,3,1,1,1,5.4,low
7.42,0,0,2,0,1,10,2,53,3.8,1,1,1,0.7260373965592438,3,4,1,1,1,2.2,medium
3.66,0,0,3,1,2,5,2,97,4.5,0,1,2,0.7501888237278901,2,0,1,1,1,6.4,high
5.9,0,0,0,1,0,9,3,61,5.0,2,1,3,0.6925648330766295,2,1,1,1,1,3.1,high
3.89,1,0,4,0,1,7,2,74,6.5,3,3,2,0.5917205990452159,1,1,1,1,1,10.3,low
3.77,1,2,1,1,2,12,2,44,5.7,0,1,1,0.9288323728954623,4,0,1,1,1,4.8,medium
7.68,0,0,1,1,2,6,3,47,3.2,0,1,2,0.24744936784186683,4,1,1,1,1,5.1,medium
7.7,0,0,1,0,3,14,1,88,18.0,1,2,1,0.8734238044187241,1,0,1,1,1,11.4,high
5.69,0,0,0,2,3,13,3,78,4.2,0,1,2,0.7482591292853774,2,0,1,1,1,6.0,high
6.15,0,0,1,1,0,6,1,97,6.8,2,3,1,0.43144626492650684,4,4,1,1,1,11.2,low
4.65,2,3,4,0,2,0,2,64,16.2,0,3,3,0.4778342578025607,4,4,1,1,1,19.8,low
8.67,0,0,0,1,0,14,2,80,9.1,2,1,1,0.334891845031249,2,2,0,1,1,8.0,medium
5.51,0,0,1,0,1,12,3,82,4.3,1,1,3,0.1813787992436724,3,0,0,0,1,4.1,medium
4.51,0,0,0,2,3,5,2,95,7.9,0,2,1,0.8144287684992979,1,0,0,1,1,7.8,low
4.1,2,0,0,2,1,1,3,67,3.6,0,2,1,0.9317185529805405,2,2,0,1,1,5.7,medium
6.18,1,0,0,1,1,7,3,60,3.2,1,2,1,0.8961872646024684,2,2,0,0,0,1.7,medium
7.74,0,0,0,1,0,7,2,60,10.5,0,2,2,0.7901579516052456,4,4,1,1,1,13.799999999999999,low
9.24,0,0,5,0,0,3,3,70,3.3,3,1,2,0.4165139336347793,2,0,0,1,1,2.5,low
5.08,0,0,0,2,0,0,1,47,15.7,3,3,1,0.2329408170875032,3,0,0,1,1,18.6,medium
5.17,0,0,4,1,3,9,1,47,17.1,2,2,2,0.9359606880868828,3,0,0,0,1,16.2,medium
4.75,4,4,0,1,3,11,3,53,5.9,2,1,3,0.22657903133371154,3,0,1,1,1,3.6,low
3.71,0,0,1,1,2,14,2,81,4.4,2,1,3,0.5437737941264629,2,1,1,1,1,8.4,medium
4.34,0,0,0,0,3,1,3,34,3.8,1,1,1,0.9867484901270289,4,2,0,1,1,5.6,medium
6.29,3,1,2,0,0,3,2,95,6.4,2,1,1,0.10343401495252075,1,2,0,0,1,9.1,medium
6.02,0,0,2,0,1,7,3,73,3.7,1,2,1,0.4957663805674922,2,3,1,1,1,2.9,medium
7.46,1,3,3,1,1,6,3,85,5.5,1,1,2,0.17105954479667487,4,2,0,0,0,6.8999999999999995,medium
9.92,0,0,0,0,0,12,2,50,6.4,3,1,3,0.3320977239889989,4,3,1,1,1,8.0,low
6.84,1,2,0,0,1,13,1,37,13.0,3,2,2,0.8071710672787097,3,3,0,1,1,11.8,medium
6.1,1,0,4,0,0,6,1,59,11.7,3,1,1,0.8142868539150763,2,3,0,1,1,14.1,low
6.2,0,0,0,0,2,12,3,91,4.2,3,1,2,0.24307519837510042,2,1,0,1,1,3.8,medium
5.58,0,0,0,0,1,13,1,40,10.8,2,1,1,0.6346392341069361,1,3,0,1,1,6.4,medium
3.85,2,2,0,0,0,4,1,77,20.4,1,2,2,0.21908268170531386,1,2,1,1,1,23.9,low
4.12,0,0,2,2,1,14,2,90,4.9,3,2,2,0.6343952882896743,2,2,1,1,1,9.0,low
4.47,1,0,0,2,2,14,3,65,4.6,2,1,2,0.9977221896204663,2,1,1,1,1,3.4,medium
6.94,0,0,1,0,0,3,3,96,4.6,0,1,2,0.7668270024119813,3,1,0,0,0,6.8999999999999995,medium
7.53,0,0,0,2,1,13,2,34,9.1,1,1,2,0.880747979228407,2,0,1,1,1,11.5,low
5.87,2,0,0,0,3,14,3,32,4.3,0,2,1,0.7961880441885082,2,0,0,0,1,2.6,high
3.58,0,0,0,0,2,7,2,25,5.5,2,1,1,0.8892866217338651,2,0,1,1,1,7.5,medium
5.4,2,4,1,2,1,8,3,76,3.9,0,1,2,0.2180851987754643,3,1,0,1,1,3.5,medium
6.03,0,0,3,0,0,8,3,40,5.2,1,2,2,0.2849454240923585,3,0,1,1,1,1.8,medium
6.71,0,0,0,0,0,14,1,91,12.2,3,2,2,0.36581608090055173,1,1,0,1,1,13.9,low
6.63,3,2,0,1,3,13,3,83,4.6,3,1,1,0.14507217623165258,3,3,1,1,1,5.9,low
8.49,1,0,1,1,2,14,1,36,22.1,1,2,1,0.46069976285267766,4,0,1,1,1,27.5,low
9.87,2,0,4,1,1,11,3,73,3.8,2,3,1,0.7160177200433255,3,4,1,1,1,4.0,low
8.65,1,2,2,0,3,5,1,91,18.5,1,3,1,0.6955419365613666,1,0,1,1,1,22.8,low
6.59,0,0,0,1,1,10,3,60,3.0,0,1,2,0.4407738332670129,3,0,0,0,1,3.3,high
3.7,0,0,0,0,2,11,3,63,4.5,3,3,1,0.7043269337012404,4,0,1,1,1,4.2,high
6.62,0,0,0,0,2,10,2,95,7.8,1,1,1,0.24773983093485177,1,2,0,1,1,8.9,medium
5.3,0,0,0,1,2,7,3,82,3.5,1,3,3,0.2211724129875695,2,1,1,1,1,2.3,medium
3.61,2,0,2,1,1,2,3,78,6.5,3,1,1,0.9672341839117774,4,1,1,1,1,4.5,medium
6.32,1,0,0,1,2,13,2,41,9.4,3,1,2,0.7248807763545937,2,0,0,0,0,6.7,high
8.41,0,0,0,0,0,13,2,59,3.4,2,1,3,0.7150512957983084,1,0,1,1,1,4.1,low
7.6,1,1,0,1,2,10,3,31,2.9,3,1,2,0.8093003770577941,3,4,1,1,1,5.75,low
6.15,1,2,1,1,2,3,3,62,5.9,1,1,1,0.25641561866977464,2,0,0,0,1,4.9,medium
5.68,3,1,3,1,2,11,3,98,3.2,1,1,3,0.3860731048349706,1,0,1,1,1,4.3,medium
4.07,0,0,2,1,1,3,3,26,5.0,0,1,2,0.9140468126389228,2,1,0,0,1,1.1,high
5.17,1,2,1,1,1,8,3,49,4.5,1,1,3,0.25065532829214543,4,1,1,1,1,1.6500000000000001,medium
9.37,2,2,1,1,0,1,2,28,11.2,1,2,1,0.16592322624356493,1,0,1,1,1,13.5,low
6.92,1,2,2,1,1,5,1,34,16.4,1,3,1,0.808202707896313,2,0,0,1,1,16.9,medium
6.81,2,0,2,0,3,2,3,72,6.9,3,1,2,0.5995627710762357,1,0,0,0,0,5.5,high
8.17,2,0,0,1,0,5,2,97,4.8,3,3,2,0.59469814871125,2,0,1,1,1,5.5,low
4.37,0,0,1,1,2,1,2,97,6.4,1,2,3,0.25177555981538213,2,2,0,0,1,4.0,medium
3.82,0,0,0,1,2,7,2,42,10.9,3,1,1,0.897702248871006,1,0,1,1,1,11.2,medium
5.33,2,1,2,0,1,14,1,62,22.3,0,3,2,0.4571066418847367,2,2,1,1,1,27.599999999999998,low
6.16,2,0,2,2,0,2,2,54,10.1,0,2,1,0.7017270400084307,2,2,0,1,1,13.799999999999999,low
5.51,1,1,2,0,1,8,3,34,5.9,1,2,3,0.30060932908009436,2,2,1,1,1,4.4,high
6.51,0,0,1,1,0,3,1,67,9.5,2,1,2,0.5311190470280762,2,2,1,1,1,8.8,low
5.04,0,0,4,1,1,14,3,61,3.1,3,1,2,0.9934982413371809,3,0,0,0,0,3.3,high
6.18,3,1,0,0,0,4,2,91,7.2,3,3,2,0.8438627670303365,2,0,0,1,1,6.9,low
6.29,2,3,3,1,1,10,1,30,9.7,2,1,1,0.8220701764070324,3,1,1,1,1,9.2,low
7.93,0,0,1,0,0,7,3,25,6.0,1,1,2,0.43752689353444807,1,2,0,0,0,5.1,high
6.15,1,2,1,1,1,9,2,96,7.0,1,1,2,0.7967750358204926,2,0,0,1,1,5.4,medium
6.12,1,2,2,0,3,8,2,36,5.1,2,2,3,0.4918396910974876,1,0,1,1,1,6.3,low
4.2,2,0,1,0,3,11,3,91,5.7,0,1,3,0.5594930653589387,3,1,0,0,1,4.3,low
6.01,1,1,2,0,0,6,2,96,4.7,3,2,1,0.8339633915488203,1,4,0,1,1,9.1,low
8.2,2,4,3,1,1,8,2,73,11.9,1,1,2,0.9651148527714529,2,1,0,1,1,14.8,low
8.31,0,0,1,1,0,10,3,76,2.9,2,1,1,0.9382566158520964,2,0,0,1,1,1.1,medium
4.15,0,0,3,2,1,3,2,40,8.7,3,1,2,0.7878197913719743,2,0,0,1,1,7.1,medium
6.52,1,0,3,0,1,7,2,94,7.4,0,2,1,0.7177047818773505,1,4,1,1,1,7.3,medium
8.7,0,0,0,2,1,5,2,79,5.3,0,2,1,0.4605333376800014,2,1,0,0,0,5.0,medium
4.41,3,0,3,0,1,13,2,91,10.0,1,1,3,0.37003076393810386,2,1,1,1,1,11.5,medium
5.34,0,0,3,0,1,7,3,50,4.4,1,3,1,0.8022781882893134,2,2,0,0,0,7.5,medium
6.85,3,0,2,1,3,2,3,68,3.3,0,2,2,0.7393901366049435,2,1,0,0,0,1.6500000000000001,medium
6.01,1,2,4,1,0,2,2,38,5.3,0,2,2,0.12372842202961692,2,2,1,1,1,4.9,low
7.69,0,0,0,0,1,3,3,85,5.7,1,2,3,0.5936907470253143,1,3,1,1,1,6.8999999999999995,low
5.77,0,0,3,1,1,10,3,63,2.8,0,2,3,0.8631518395444036,2,1,1,1,1,2.1,medium
6.36,1,0,4,1,0,4,3,74,8.3,2,2,1,0.48001544447832345,1,2,0,0,1,7.4,medium
5.7,0,0,1,1,2,6,2,66,6.0,0,1,3,0.11991779705393185,4,0,0,0,1,10.3,medium
6.65,4,0,3,0,2,6,2,32,8.7,0,2,1,0.5231320989388478,1,3,0,1,1,10.35,low
9.54,0,0,0,1,0,7,2,64,7.1,3,1,2,0.13796732403525797,4,1,0,0,1,3.1,high
6.83,0,0,2,0,0,1,2,85,13.7,2,1,1,0.180531912474707,1,0,0,1,1,12.3,medium
4.86,1,0,2,1,1,11,2,49,9.2,0,2,1,0.22125895638485704,4,1,1,1,1,9.4,medium
8.46,1,3,0,1,1,11,2,94,8.7,1,1,2,0.5553619596446991,3,3,1,1,1,10.9,low
7.12,1,1,2,0,2,13,2,91,3.8,2,1,3,0.2167968396900215,3,0,0,1,1,5.5,medium
3.88,0,0,0,2,2,11,3,35,5.7,1,1,1,0.7691296968193312,4,2,0,1,1,6.8999999999999995,medium
8.83,0,0,1,0,1,1,3,47,4.2,1,3,2,0.19496276370924015,3,0,1,1,1,4.7,medium
6.27,1,4,4,1,3,5,3,77,5.4,2,2,3,0.39110582804361016,1,1,1,1,1,4.1,medium
9.36,1,1,5,0,1,0,3,65,4.3,0,3,3,0.5601443395070045,2,1,1,1,1,4.1,low
5.56,0,0,2,1,2,4,3,98,5.0,2,2,2,0.3703539284589472,3,1,1,1,1,6.5,medium
7.48,1,3,4,1,2,13,1,92,6.6,0,2,2,0.39414846488953714,3,0,1,1,1,5.9,low
5.65,0,0,2,0,1,6,2,89,3.5,1,1,2,0.532830251778413,1,1,0,0,0,1.7,high
9.31,0,0,1,0,1,6,2,28,6.6,2,1,3,0.6545988950090531,4,1,1,1,1,10.35,low
7.25,0,0,0,2,0,13,1,39,10.1,1,1,1,0.2881085870117819,2,0,0,0,0,7.5,high
8.36,1,0,0,0,2,0,2,84,9.3,2,2,1,0.6943355429483901,3,3,0,1,1,11.1,medium
4.75,0,0,1,0,1,8,3,27,5.3,0,3,1,0.540939560935347,3,0,0,0,1,9.2,high
9.03,2,3,0,1,0,0,3,75,3.9,2,2,2,0.5686460596661651,3,3,1,1,1,6.2,low
5.38,0,0,3,2,1,7,2,92,9.6,3,2,3,0.9781992181617394,1,3,0,0,1,12.4,low
3.91,0,0,5,0,2,14,1,60,21.1,0,1,1,0.2662718469171106,3,1,1,1,1,27.599999999999998,low
4.65,2,0,2,0,1,11,3,45,3.9,0,1,2,0.9719335728400411,4,4,1,1,1,4.5,low
7.67,0,0,0,1,0,7,3,73,5.9,2,2,2,0.7682210692371503,2,1,0,0,0,4.4,high
6.16,1,1,1,1,0,3,2,75,5.7,3,1,2,0.48021596420539725,2,0,1,1,1,8.1,low
8.5,1,0,1,0,1,12,3,50,4.7,3,1,1,0.7225456854978113,4,2,0,1,1,3.9,medium
9.51,1,0,2,0,0,6,3,44,3.3,0,1,1,0.7408427390916603,2,0,1,1,1,1.1,medium
5.98,1,1,3,1,1,9,3,85,3.1,1,1,1,0.6400918938660303,1,1,1,1,1,1.1,high
5.49,1,1,1,0,0,0,1,45,39.8,2,3,2,0.7298621344228988,2,1,1,1,1,34.0,medium
4.72,0,0,0,0,2,14,2,92,6.5,1,1,2,0.6508483704355815,1,2,0,0,1,5.1,medium
8.75,0,0,2,2,2,4,2,88,13.5,1,2,3,0.309449475539687,2,0,1,1,1,16.0,low
4.48,1,2,0,0,0,6,2,64,7.7,1,3,1,0.10551813619176355,3,0,0,1,1,10.35,low
6.02,0,0,0,1,3,10,2,84,8.4,2,1,3,0.15042005666788788,2,1,0,0,1,8.2,medium
9.9,0,0,5,1,2,12,2,74,5.9,0,1,3,0.776386187802652,3,0,1,1,1,4.3,low
3.73,0,0,0,0,1,3,2,89,8.8,0,1,3,0.7591969600803493,2,2,1,1,1,8.3,medium
5.11,2,0,1,0,2,11,1,67,14.7,1,1,1,0.7895621664306957,3,0,0,1,1,15.4,medium
4.07,0,0,0,1,1,12,2,69,4.0,1,1,1,0.7339183265239191,2,0,1,1,1,3.4,high
4.01,0,0,2,2,2,10,1,82,12.9,2,1,1,0.2783324244738281,3,2,1,1,1,13.1,low
7.02,1,2,1,0,0,11,2,58,9.0,3,2,1,0.9255379795928489,2,3,0,1,1,5.7,low
6.79,0,0,3,1,1,4,3,63,7.9,1,3,2,0.31471776261022205,1,0,1,1,1,5.0,low
6.28,0,0,0,2,1,9,3,84,4.4,1,1,3,0.25855660198056807,4,0,1,1,1,4.0,medium
